id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-5785,2024-01-05,000001,Vente,273000,178,,RUE DE LA REPUBLIQUE,0100,02300,02041,Autreville,02,,,02041000ZI0012,,,,,,,,,,,,,0,1,Maison,141,6,AG,terrains d'agrément,,,1316,3.244197,49.579771
2024-5785,2024-01-05,000001,Vente,273000,178,,RUE DE LA REPUBLIQUE,0100,02300,02041,Autreville,02,,,02041000ZI0012,,,,,,,,,,,,,0,1,Maison,141,6,S,sols,,,500,3.244197,49.579771
2024-5786,2024-01-04,000001,Vente,15000,,,LA FOSSE MICLETTE,B028,02300,02599,Pierremande,02,,,02599000ZB0044,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,2800,3.262201,49.571015
2024-5786,2024-01-04,000001,Vente,15000,,,LA FOSSE MICLETTE,B028,02300,02599,Pierremande,02,,,02599000ZB0044,,,,,,,,,,,,,0,,,,,BP,peupleraies,,,14685,3.262201,49.571015
2024-5786,2024-01-04,000001,Vente,15000,,,LA FOSSE MICLETTE,B028,02300,02599,Pierremande,02,,,02599000ZB0044,,,,,,,,,,,,,0,,,,,T,terres,,,1075,3.262201,49.571015
2024-5787,2024-01-04,000001,Vente,41000,17,,RUE 2 LTS LECOMTE LARMUZEAUX,0020,02640,02694,Saint-Simon,02,,,026940000B0187,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,344,3.174442,49.744939
2024-5787,2024-01-04,000001,Vente,41000,17,,RUE 2 LTS LECOMTE LARMUZEAUX,0020,02640,02694,Saint-Simon,02,,,026940000B0187,,,,,,,,,,,,,0,1,Maison,75,4,S,sols,,,344,3.174442,49.744939
2024-5788,2024-01-04,000001,Vente,75500,8,,GR GDE RUE,0023,02640,02752,Tugny-et-Pont,02,,,02752000AB0015,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1464,3.156186,49.757983
2024-5788,2024-01-04,000001,Vente,75500,8,,GR GDE RUE,0023,02640,02752,Tugny-et-Pont,02,,,02752000AB0015,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1464,3.156186,49.757983
2024-5788,2024-01-04,000001,Vente,75500,8,,GR GDE RUE,0023,02640,02752,Tugny-et-Pont,02,,,02752000AB0015,,,,,,,,,,,,,0,1,Maison,95,4,S,sols,,,1464,3.156186,49.757983
2024-5788,2024-01-04,000001,Vente,75500,,,LE VILLAGE,B021,02640,02752,Tugny-et-Pont,02,,,02752000AB0025,,,,,,,,,,,,,0,,,,,J,jardins,,,1889,3.155861,49.758331
2024-5789,2024-01-03,000001,Vente,70000,27,,RUE COLIGNY,0500,02200,02722,Soissons,02,,,02722000CN0133,,,32,,4,,5,,6,,,,4,3,Dépendance,,0,,,,,,3.33431,49.372843
2024-5789,2024-01-03,000001,Vente,70000,27,,RUE COLIGNY,0500,02200,02722,Soissons,02,,,02722000CN0133,,,32,,4,,5,,6,,,,4,2,Appartement,37,2,,,,,,3.33431,49.372843
2024-5790,2024-01-05,000001,Vente,12000,,,LE BUIS,B016,02250,02468,Marle,02,,,02468000ZA0066,,,,,,,,,,,,,0,,,,,PA,pâtures,,,5382,3.768251,49.750514
2024-5791,2024-01-05,000001,Vente,13420,,,L EPINE MARIE DE JEANTE,B029,02140,02401,Laigny,02,,,02401000ZL0048,,,,,,,,,,,,,0,,,,,PA,pâtures,,,14888,3.884929,49.874126
2024-5791,2024-01-05,000001,Vente,13420,,,L EPINE MARIE DE JEANTE,B029,02140,02401,Laigny,02,,,02401000ZL0048,,,,,,,,,,,,,0,,,,,PA,pâtures,,,1887,3.884929,49.874126
2024-5792,2024-01-03,000001,Vente,50000,14,,GR GDE RUE,0021,02260,02284,Erloy,02,,,022840000B0758,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,503,3.828447,49.913829
2024-5792,2024-01-03,000001,Vente,50000,14,,GR GDE RUE,0021,02260,02284,Erloy,02,,,022840000B0758,,,,,,,,,,,,,0,1,Maison,100,3,S,sols,,,503,3.828447,49.913829
2024-5792,2024-01-03,000001,Vente,50000,,,LE VILLAGE,B076,02260,02284,Erloy,02,,,022840000B0760,,,,,,,,,,,,,0,,,,,J,jardins,,,323,3.828467,49.913557
2024-5793,2024-01-08,000001,Vente,106000,1,,RUE FONTAINE SAINTE ANNE,0037,02290,02673,Saint-Christophe-à-Berry,02,,,02673000AA0069,,,,,,,,,,,,,0,1,Maison,52,1,S,sols,,,500,3.131998,49.422208
2024-5793,2024-01-08,000001,Vente,106000,1,,RUE FONTAINE SAINTE ANNE,0037,02290,02673,Saint-Christophe-à-Berry,02,,,02673000AA0069,,,,,,,,,,,,,0,1,Maison,52,1,J,jardins,,,2005,3.131998,49.422208
2024-5794,2024-01-08,000001,Vente,130000,68,,RUE DE CRECY,0045,02800,02165,Charmes,02,,,02165000AH0130,,,,,,,,,,,,,0,1,Maison,121,5,S,sols,,,305,3.385578,49.663953
2024-5794,2024-01-08,000001,Vente,130000,,,LE VIEUX POLYGONE NORD,B030,02800,02165,Charmes,02,,,02165000AH0274,,,,,,,,,,,,,0,,,,,J,jardins,,,159,3.385586,49.663851
2024-5795,2024-01-08,000001,Vente,235000,34,,RUE DU CARRIER,0016,02200,02003,Acy,02,,,02003000AC0301,,,,,,,,,,,,,0,1,Maison,130,5,S,sols,,,796,3.414592,49.354892
2024-5795,2024-01-08,000001,Vente,235000,,,LES VOYETTES,B170,02200,02003,Acy,02,,,02003000AC0306,,,,,,,,,,,,,0,,,,,S,sols,,,8,3.414588,49.354941
2024-5795,2024-01-08,000001,Vente,235000,,,LES VOYETTES,B170,02200,02003,Acy,02,,,02003000AC0323,,,,,,,,,,,,,0,,,,,T,terres,,,211,3.41483,49.354829
2024-5795,2024-01-08,000001,Vente,235000,,,LES ALOES,B002,02200,02003,Acy,02,,,02003000ZX0302,,,,,,,,,,,,,0,,,,,T,terres,,,109,3.414908,49.354769
2024-5796,2024-01-05,000001,Vente,150000,49,,RUE DE CONDE,0015,02650,02239,Crézancy,02,,,02239000AE0040,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,1030,3.514617,49.042559
2024-5796,2024-01-05,000001,Vente,150000,49,,RUE DE CONDE,0015,02650,02239,Crézancy,02,,,02239000AE0040,,,,,,,,,,,,,0,1,Maison,72,4,J,jardins,,,1030,3.514617,49.042559
2024-5796,2024-01-05,000001,Vente,150000,49,,RUE DE CONDE,0015,02650,02239,Crézancy,02,,,02239000AE0040,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,1030,3.514617,49.042559
2024-5796,2024-01-05,000001,Vente,150000,49,,RUE DE CONDE,0015,02650,02239,Crézancy,02,,,02239000AE0040,,,,,,,,,,,,,0,1,Maison,72,4,S,sols,,,526,3.514617,49.042559
2024-5796,2024-01-05,000001,Vente,150000,49,,RUE DE CONDE,0015,02650,02239,Crézancy,02,,,02239000AE0040,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,526,3.514617,49.042559
2024-5796,2024-01-05,000001,Vente,150000,49,,RUE DE CONDE,0015,02650,02239,Crézancy,02,,,02239000AE0040,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,526,3.514617,49.042559
2024-5797,2024-01-10,000001,Vente,85000,18,,LOT DES LILAS,A261,02700,02738,Tergnier,02,,,02738630AK0696,,,,,,,,,,,,,0,1,Maison,91,4,S,sols,,,407,3.285736,49.663488
2024-5798,2024-01-09,000001,Vente,21945,,,LA GAYENNE,B143,02820,02498,Montaigu,02,,,024980000F1683,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,627,3.819589,49.536757
2024-5799,2024-01-10,000001,Vente,30000,,,LE VILLAGE,B065,02130,02227,Courmont,02,,,022270000A0948,,,,,,,,,,,,,0,,,,,P,prés,,,4,3.575474,49.149687
2024-5799,2024-01-10,000001,Vente,30000,,,LE VILLAGE,B065,02130,02227,Courmont,02,,,022270000A0950,,,,,,,,,,,,,0,,,,,P,prés,,,996,3.575876,49.149681
2024-5800,2024-01-04,000001,Vente,102000,32,,RTE DE BRENELLE,0020,02220,02110,Braine,02,,,021100000C1089,,,184,46.78,,,,,,,,,1,4,Local industriel. commercial ou assimilé,15,0,,,,,,3.534186,49.346916
2024-5800,2024-01-04,000001,Vente,102000,32,,RTE DE BRENELLE,0020,02220,02110,Braine,02,,,021100000C1089,,,195,15.13,,,,,,,,,1,4,Local industriel. commercial ou assimilé,15,0,,,,,,3.534186,49.346916
2024-5801,2024-01-10,000001,Vente,155000,,,LA VILLE SUD EST,B157,02140,02789,Vervins,02,,,02789000AC0067,,,,,,,,,,,,,0,,,,,J,jardins,,,635,3.91251,49.8338
2024-5801,2024-01-10,000001,Vente,155000,,,LA VILLE SUD EST,B157,02140,02789,Vervins,02,,,02789000AC0067,,,,,,,,,,,,,0,,,,,S,sols,,,63,3.91251,49.8338
2024-5801,2024-01-10,000001,Vente,155000,35,Q,RUE DU GENERAL DEVILLE,0090,02140,02789,Vervins,02,,,02789000AC0068,,,,,,,,,,,,,0,1,Maison,80,4,S,sols,,,117,3.912518,49.833658
2024-5801,2024-01-10,000001,Vente,155000,35,Q,RUE DU GENERAL DEVILLE,0090,02140,02789,Vervins,02,,,02789000AC0068,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,117,3.912518,49.833658
2024-5802,2024-01-05,000001,Vente,170000,30,,RUE DE BOURGOGNE,0020,02100,02371,Harly,02,,,02371000AC0326,,,,,,,,,,,,,0,1,Maison,79,4,S,sols,,,463,3.319397,49.844732
2024-5802,2024-01-05,000001,Vente,170000,,,IMP DE BOURGOGNE,0021,02100,02371,Harly,02,,,02371000AC0338,,,,,,,,,,,,,0,,,,,S,sols,,,79,3.31925,49.844703
2024-5803,2024-01-09,000001,Vente,1000,,,LA QUEUE DU RIEZ,B049,02450,02308,Fesmy-le-Sart,02,,,023080000A0337,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,470,3.694293,50.049693
2024-5803,2024-01-09,000001,Vente,1000,,,LE TROU A TONNOIR,B063,02450,02308,Fesmy-le-Sart,02,,,023080000B0123,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1960,3.702907,50.043559
2024-5804,2024-01-03,000001,Vente,171300,11,,RUE DE LAPPION,0030,02150,02705,La Selve,02,,,027050000B0170,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,437,3.99544,49.570771
2024-5804,2024-01-03,000001,Vente,171300,11,,RUE DE LAPPION,0030,02150,02705,La Selve,02,,,027050000B0170,,,,,,,,,,,,,0,1,Maison,170,7,S,sols,,,437,3.99544,49.570771
