id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-4982,2024-06-11,000002,Vente,227000,758,,RUE DE PORT NEUF,0600,01800,01361,Saint-Jean-de-Niost,01,,,013610000B2564,,,,,,,,,,,,,0,1,Maison,102,4,,,,,,,
2024-4983,2024-06-06,000001,Vente,19870,,,LES DARDS,B017,01510,01100,Cheignieu-la-Balme,01,,,011000000A0205,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,380,5.623916,45.820298
2024-4983,2024-06-06,000001,Vente,19870,,,LES DARDS,B017,01510,01100,Cheignieu-la-Balme,01,,,011000000A0209,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,770,5.623519,45.820626
2024-4983,2024-06-06,000001,Vente,19870,,,CHALOZET,B005,01510,01100,Cheignieu-la-Balme,01,,,011000000A0288,,,,,,,,,,,,,0,,,,,L,landes,,,390,5.619303,45.823799
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0017,,,,,,,,,,,,,0,,,,,P,prés,,,3680,5.616611,45.817567
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0031,,,,,,,,,,,,,0,,,,,T,terres,,,990,5.618874,45.818011
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0036,,,,,,,,,,,,,0,,,,,T,terres,,,1280,5.619,45.81824
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0042,,,,,,,,,,,,,0,,,,,T,terres,,,1010,5.617655,45.818781
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0053,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1600,5.620662,45.81893
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0063,,,,,,,,,,,,,0,,,,,P,prés,,,840,5.620538,45.817827
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0064,,,,,,,,,,,,,0,,,,,P,prés,,,1930,5.620369,45.817716
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0066,,,,,,,,,,,,,0,,,,,P,prés,,,580,5.620204,45.81748
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0067,,,,,,,,,,,,,0,,,,,P,prés,,,1480,5.620176,45.817394
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0068,,,,,,,,,,,,,0,,,,,P,prés,,,1150,5.62002,45.817276
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0069,,,,,,,,,,,,,0,,,,,P,prés,,,750,5.619718,45.817324
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0070,,,,,,,,,,,,,0,,,,,T,terres,,,860,5.619932,45.817142
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0071,,,,,,,,,,,,,0,,,,,P,prés,,,2100,5.620141,45.816949
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0073,,,,,,,,,,,,,0,,,,,VI,vignes,,,1340,5.619555,45.817021
2024-4983,2024-06-06,000001,Vente,19870,,,COIN,B010,01510,01100,Cheignieu-la-Balme,01,,,011000000B0074,,,,,,,,,,,,,0,,,,,P,prés,,,5575,5.619684,45.816593
